progress=1/1365 (thread=1/4; progress=1/341) min=-0.02804839775418365; max=0.02967305163488642; largest=0.02967305163488642 [updated]
progress=2/1365 (thread=4/4; progress=1/342) min=-0.02804839775418365; max=0.02975212772420444; largest=0.02975212772420444 [updated]
progress=4/1365 (thread=3/4; progress=1/341) min=-0.02804839775418365; max=0.03171130847845078; largest=0.03171130847845078 [updated]
progress=7/1365 (thread=2/4; progress=4/341) min=-0.02967305163488642; max=0.03171130847845078; largest=0.03171130847845078 [updated]
progress=retry (thread=2/4; progress=4/341) min=-0.02967482379503557; max=0.03171130847845078; largest=0.03171130847845078 [updated]
progress=26/1365 (thread=1/4; progress=12/341) min=-0.02967482379503557; max=0.03198897794513655; largest=0.03198897794513655 [updated]
progress=68/1365 (thread=4/4; progress=24/342) min=-0.02972060301728333; max=0.03198897794513655; largest=0.03198897794513655 [updated]
progress=75/1365 (thread=3/4; progress=5/341) min=-0.02979181591330776; max=0.03198897794513655; largest=0.03198897794513655 [updated]
progress=76/1365 (thread=2/4; progress=35/341) min=-0.03051757812500001; max=0.03198897794513655; largest=0.03198897794513655 [updated]
progress=retry (thread=1/4; progress=12/341) min=-0.03051757812500001; max=0.03199015150473494; largest=0.03199015150473494 [updated]
progress=100/1365 (thread=4/4; progress=35/342) min=-0.03171130847845077; max=0.03199015150473494; largest=0.03199015150473494 [updated]
progress=117/1365 (thread=2/4; progress=50/341) min=-0.03198897794513655; max=0.03199015150473494; largest=0.03199015150473494 [updated]
progress=retry (thread=2/4; progress=50/341) min=-0.03199015150473494; max=0.03199015150473494; largest=0.03199015150473494 [updated]
